term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
HLA-C,6.896551724137931,0.16215108952713952,0.3819163024393799,-1.6682178956203146,3.0348665821667447,['Haemophilus'],1
IRF7,3.8314176245210727,0.11549315993508406,0.3133422018491943,-1.4028309256870757,3.0280722385386305,"['Porphyromonas', 'Neisseria']",2
NLRP3,5.6426332288401255,0.00019384012980259928,0.00859580713538423,-0.351438263612801,3.0042618472797464,"['Veillonella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",9
TNFSF11,8.323424494649228,0.0001135251809413399,0.008110743482809062,-0.3269527839688697,2.9698709989409777,"['Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",7
CYP3A4,3.134796238244514,0.15517530217652956,0.3819163024393799,-1.590683841850006,2.963761846788895,"['Haemophilus', 'Porphyromonas']",2
NES,4.926108374384237,0.07895214477833755,0.23557414892097933,-1.1669228499695885,2.962716028303439,"['Haemophilus', 'Neisseria']",2
PSCA,5.747126436781609,0.062315834813865226,0.2003454089265767,-1.0590199146857466,2.9393518323106647,"['Peptostreptococcus', 'Haemophilus']",2
MSR1,13.793103448275861,0.016578885004772507,0.0899596882537445,-0.7114419937697009,2.916645654729743,"['Porphyromonas', 'Neisseria']",2
ZYX,3.134796238244514,0.2972806594217405,0.5287730677957929,-2.3804761428476167,2.8877046790182375,['Haemophilus'],1
B2M,5.305039787798409,0.07047641200679407,0.21734452239984933,-1.0855171706488824,2.8793095525328627,"['Streptococcus', 'Haemophilus']",2
LCN2,4.597701149425287,0.018496353127414975,0.09829053769361841,-0.7201822273139932,2.8736579401887252,"['Peptostreptococcus', 'Streptococcus', 'Haemophilus', 'Porphyromonas']",4
RAG1,2.955665024630542,0.10154946128068369,0.28764891455277364,-1.2536939111786805,2.8674603679062423,"['Streptococcus', 'Campylobacter', 'Prevotella']",3
CYP24A1,6.896551724137931,0.047054187999024985,0.16443392871398405,-0.9123758965657015,2.7886362406717424,"['Haemophilus', 'Porphyromonas']",2
PLG,5.747126436781609,0.009503451267991897,0.06267404272121836,-0.5989020197604461,2.78854784691609,"['Streptococcus', 'Prevotella', 'Porphyromonas', 'Fusobacterium']",4
CCL2,4.420866489832007,0.0005231383745568735,0.012458443512595173,-0.3654387203227925,2.761132384483337,"['Veillonella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",10
